Category_Index,Updated,Size,Installs,Requires_Android,Age,Inapp_Lower_Bound,Inapp_Upper_Bound,Rating,Rating_Total,Rating_5,Rating_4,Rating_3,Rating_2,Rating_1,Price,Free
0,501,4.4,100,3.0,1,0,0,5.0,2,2,0,0,0,0,0,1
0,974,3.9,100,3.0,1,0,0,,5,,,,,,0,1
0,103,51,100000,2.3,1,0,0,4.1,238,168,11,8,7,44,0,1
0,7,10,1000000,4.0,1,0,0,3.7,6351,3665,443,541,267,1435,0,1
0,55,9.2,1000000,2.3,4,0,0,4.2,4838,3186,549,485,189,429,0,1
0,672,7.4,5000,2.3,4,0,0,3.7,40,20,7,3,2,8,0,1
0,804,8.9,10000,2.3,1,0,0,3.7,94,44,14,13,6,17,0,1
0,430,12,100000,2.3,1,0,0,2.1,1903,385,78,107,85,1248,0,1
0,1406,20,1000000,2.3,1,0,0,4.2,36792,21865,6957,3533,1635,2802,0,1
0,1245,49,10000,2.3,4,0,0,3.2,440,179,39,47,28,147,0,1
0,1086,37,10000,2.3,4,0,0,3.8,194,97,31,23,8,35,0,1
0,79,44,1000000,4.1,6,1.39,1.89,4.1,5193,3245,522,612,233,581,0,1
0,1073,33,100000,2.3,6,0,0,3.8,1020,541,140,105,65,169,0,1
0,362,37,50000,2.3,4,0,0,3.8,498,258,78,61,28,73,0,1
0,972,44,100000,2.3,6,0,0,3.8,2255,1296,164,228,159,408,0,1
0,397,76,10000,3.0,4,0,0,3.7,199,102,21,25,15,36,0,1
0,929,20,1000000,4.0,1,0,0,3.4,11081,5821,567,566,500,3627,0,1
0,1091,45,1000000,2.3,1,0,0,3.7,7423,4053,650,629,536,1555,0,1
0,365,37,10000,2.3,4,0,0,3.8,173,91,23,17,11,31,0,1
0,525,30,10000,2.3,1,0,0,4.1,101,68,8,7,0,18,0,1
0,457,34,1000,4.0,4,0,0,3.0,11,5,0,1,0,5,0,1
0,390,48,500000,4.0,1,0,0,4.2,8837,6079,802,587,359,1010,0,1
0,940,48,50000,2.3,4,0,0,4.0,67,44,4,6,4,9,0,1
0,1510,766,10000,2.1,1,0,0,3.1,302,100,39,41,22,100,0,1
0,916,14,1000,2.3,4,0,0,3.6,17,8,1,4,1,3,0,1
0,520,43,1000000,2.2,4,0,0,3.6,15953,7987,1641,1586,1052,3687,0,1
0,1255,11,50000,2.3,1,0,0,3.7,1423,671,242,193,98,219,0,1
0,1061,43,50000,2.3,4,0,0,4.1,1000,608,128,112,54,98,0,1
0,563,22,1000,2.3,3,0,0,3.5,19,8,3,2,2,4,0,1
0,430,43,500000,3.0,6,0,0,4.1,7033,4291,848,724,355,815,0,1
0,381,75,100000,4.0,6,0,0,3.6,5663,2854,649,557,409,1194,0,1
0,116,44,5000,4.0,4,0,0,3.6,21,10,2,3,2,4,0,1
0,495,43,10000,2.3,6,0,0,4.6,26,20,3,2,1,0,0,1
0,1016,30,10000,3.2,3,0,0,3.8,72,41,7,7,4,13,0,1
0,981,11,500,2.1,4,0,0,4.6,5,4,0,1,0,0,0,1
0,337,37,500000,2.3,3,0,0,3.7,6340,3417,601,560,422,1340,0,1
0,917,26,10000,2.3,4,0,0,4.0,55,31,8,7,1,8,0,1
0,457,38,1000,2.3,3,0,0,4.0,51,32,5,5,2,7,0,1
0,140,29,100000,4.0,4,0,0,4.2,239,177,9,16,4,33,0,1
0,1302,16,1000000,2.3,1,0,0,3.8,4513,2455,467,494,335,762,0,1
0,531,3.7,100000,4.0,6,0,0,4.0,2929,1776,319,248,100,486,0,1
0,337,43,50000,2.3,4,0,0,4.2,590,388,63,71,15,53,0,1
0,1006,5.5,100000,2.3,4,0,0,3.4,627,298,55,50,58,166,0,1
0,1595,5.4,100000,2.2,6,0,0,3.6,1584,762,198,180,96,348,0,1
0,64,8.2,1000000,3.0,4,0,0,3.8,28554,15391,3755,3040,2167,4201,0,1
0,34,26,500000,4.1,4,0,0,3.9,18344,8883,4437,1908,972,2144,0,1
0,773,12,100,2.3,6,0,0,3.6,8,3,3,0,0,2,0,1
0,1170,41,100000,4.0,4,0,0,4.5,2187,1665,216,118,56,132,0,1
0,440,,1000,4.0,4,0,0,,22,,,,,,0,1
0,1132,9.8,500000,2.3,1,0,0,3.7,5041,2520,690,565,368,898,0,1
0,1321,10,5000,2.3,0,0,0,3.9,94,50,11,14,7,12,0,1
0,915,9.1,100000,2.3,1,0,0,3.8,277,149,39,21,25,43,0,1
0,1031,37,10,2.3,4,0,0,5.0,1,1,0,0,0,0,0,1
0,1251,39,5000,3.0,4,0,0,2.7,113,34,13,8,6,52,0,1
0,629,37,1000000,2.3,6,0,0,4.0,5202,3062,564,565,324,687,0,1
0,150,28,1000000,4.1,3,0,0,4.3,5857,4367,397,325,109,659,0,1
0,83,1.1,100000,1.5,1,0.99,1.79,4.0,1136,676,144,90,75,151,0,1
0,664,39,100000,2.3,6,0,0,4.3,2027,1382,232,198,72,143,0,1
0,486,37,1000000,2.3,4,0,0,4.1,14361,9193,1619,1215,665,1669,0,1
0,751,35,500,2.3,4,0,0,3.6,8,5,0,0,1,2,0,1
0,1082,22,5000,2.3,4,0,0,3.7,88,45,11,10,6,16,0,1
0,435,2.4,50000,4.0,1,0,0,3.9,329,195,37,26,21,50,0,1
0,838,6.8,10000,2.3,1,0,0,3.4,75,34,5,11,4,21,0,1
0,442,43,10000,2.3,4,0,0,4.0,163,97,18,19,9,20,0,1
0,666,24,1000,2.3,1,0,0,,3,,,,,,0,1
0,1420,15,500000,2.0,4,0,0,3.0,5398,2079,440,494,371,2014,0,1
0,928,4.9,100000,3.0,6,0,0,3.6,3295,1548,439,425,286,597,0,1
0,1133,21,10000,2.3,1,0,0,3.8,256,145,30,20,17,44,0,1
0,42,45,500000,4.1,4,0,0,4.2,1993,1324,242,186,62,179,0,1
0,27,,1000000,4.1,3,0,0,4.1,7080,4729,690,515,216,930,0,1
0,218,25,5000,2.3,4,0,0,3.7,55,26,7,10,2,10,0,1
0,1112,43,1000,2.3,1,0,0,4.1,90,59,9,8,4,10,0,1
0,1030,4.1,1000,2.3,1,0,0,4.7,46,39,2,4,0,1,0,1
0,768,26,50,2.3,1,0,0,,3,,,,,,0,1
0,448,41,100000,2.3,5,0,0,4.0,1699,1047,171,170,99,212,0,1
0,421,40,10000,2.3,4,0,0,3.8,97,47,17,12,4,17,0,1
0,1062,48,1000000,2.3,4,0,0,3.8,34827,18672,4176,3786,2077,6116,0,1
0,96,,10000000,,1,0,0,4.2,90737,59772,10282,6597,3454,10632,0,1
0,915,4.2,500000,2.3,1,0,0,3.6,1556,818,143,134,127,334,0,1
0,1430,9.0,1000,2.3,1,0,0,3.5,30,12,6,4,2,6,0,1
0,800,1.4,50,4.0,1,0,0,,2,,,,,,0,1
0,730,38,100000,4.0,1,0,0,4.0,1146,577,270,132,51,116,0,1
0,8,58,1000000,4.0,6,0,0,4.4,20020,14445,1913,1700,609,1353,0,1
0,1423,28,1000000,2.3,4,0,0,3.6,16899,8721,1589,1441,1145,4003,0,1
0,89,,1000000,,3,0,0,4.0,9719,5747,1156,839,556,1421,0,1
0,1000,45,100000,2.3,4,0,0,3.7,2541,1252,370,315,210,394,0,1
0,452,48,100000,2.3,6,0,0,3.7,1322,721,133,123,92,253,0,1
0,412,45,5000000,2.3,6,0,0,3.3,45523,21653,3559,3663,2169,14479,0,1
0,524,41,100000,2.3,1,0,0,4.0,1197,741,126,116,67,147,0,1
0,1505,10,10000,2.2,1,0,0,3.6,176,80,31,22,8,35,0,1
0,482,22,50,2.3,1,0,0,,1,,,,,,0,1
0,513,40,100000,4.0,1,0,0,4.0,318,207,26,26,9,50,0,1
0,533,40,10000,2.3,4,0,0,3.8,34,18,5,3,3,5,0,1
0,233,49,50000,2.3,4,0,0,3.5,1064,550,63,83,53,315,0,1
0,473,41,1000,3.0,4,0,0,4.1,17,11,1,1,3,1,0,1
0,782,32,50000,2.3,4,0,0,3.9,389,212,49,52,25,51,0,1
0,453,41,500,4.0,4,0,0,3.5,8,4,1,0,1,2,0,1
0,140,31,5000,4.0,4,0,0,4.0,26,18,2,0,0,6,0,1
0,719,4.2,10000,2.3,1,0,0,3.8,83,50,3,10,4,16,0,1
0,365,47,1000000,4.0,4,0,0,3.8,16082,8236,2149,2148,1120,2429,0,1
0,1002,9.7,1000,3.2,1,0,0,4.1,21,11,5,2,3,0,0,1
0,82,1.3,10000,1.5,1,0.99,1.79,3.7,306,156,37,34,25,54,0,1
0,1007,19,10000000,4.0,4,0,0,4.2,200062,126867,26934,18136,7923,20202,0,1
0,355,54,10000000,4.0,4,0,0,4.4,436604,308301,63593,26619,12344,25747,0,1
0,498,37,100000,2.3,4,0,0,4.1,880,522,124,131,38,65,0,1
0,1292,7.1,100,2.2,4,0,0,,1,,,,,,0,1
0,1616,36,1000000,2.3,1,0,0,3.7,21188,11083,2424,1988,1382,4311,0,1
0,756,19,100,2.3,6,0,0,3.8,8,4,2,0,0,2,0,1
0,1395,2.3,1000,2.3,4,0,0,,16,,,,,,0,1
0,553,40,1000,4.0,3,0,0,3.2,19,8,2,0,3,6,0,1
0,919,30,10000,2.3,3,0,0,3.9,342,184,52,36,20,50,0,1
0,702,37,100000,2.3,4,0,0,3.9,2124,1169,271,267,136,281,0,1
0,1361,21,100000,2.3,4,0,0,3.7,2369,1248,255,260,192,414,0,1
0,60,36,10000000,4.1,4,1.19,62.99,3.9,189419,107349,24848,19030,9286,28906,0,1
0,520,7.5,1000,2.3,1,0,0,,28,,,,,,0,1
0,3,46,5000000,4.1,4,0,0,4.0,21872,13768,2091,1971,1057,2985,0,1
0,705,34,100,2.3,4,0,0,,1,,,,,,0,1
0,822,40,1000000,2.3,3,0,0,4.1,7306,4656,710,583,371,986,0,1
0,739,28,50000,2.3,4,0,0,3.7,173,83,21,25,15,29,0,1
0,463,35,1000,2.3,4,0,0,3.7,9,4,1,2,1,1,0,1
0,753,15,50000,2.3,1,0,0,3.4,355,176,27,27,20,105,0,1
0,495,21,1000000,2.3,6,0,0,3.9,28685,14883,4936,3366,1912,3588,0,1
0,401,4.3,100000,4.0,4,0,0,3.3,1401,561,184,174,102,380,0,1
0,964,20,100000,2.3,4,0,0,4.3,13407,8939,1897,1248,382,941,0,1
0,540,48,1000,2.3,4,0,0,4.5,16,12,1,2,1,0,0,1
0,1317,7.2,1000,2.2,3,0,0,4.0,55,31,12,1,4,7,0,1
0,852,15,500,3.0,3,0,0,3.1,21,9,1,2,1,8,0,1
0,610,28,10000,2.3,1,0,0,3.9,37,22,4,2,3,6,0,1
0,1242,10,1000000,4.0,4,0,0,4.2,31991,21544,3682,2376,1072,3317,0,1
0,1386,36,10000,2.3,4,0,0,3.6,1178,554,142,171,86,225,0,1
0,1071,43,100000,2.3,4,0,0,3.8,2613,1310,377,336,165,425,0,1
0,985,28,50000,2.2,6,0,0,3.5,434,211,41,39,30,113,0,1
0,266,17,1000000,2.3,1,0,0,3.9,12786,6874,1966,1260,796,1890,0,1
0,768,17,10000,2.3,1,0,0,4.3,47,35,3,2,1,6,0,1
0,1143,3.2,50000,2.3,1,0,0,4.2,444,284,58,37,24,41,0,1
0,478,50,500000,3.0,1,0,0,4.2,6105,4104,738,462,201,600,0,1
0,936,24,10000,2.3,4,0,0,3.6,471,227,55,63,35,91,0,1
0,616,33,10000,2.3,4,0,0,3.9,126,75,10,15,6,20,0,1
0,337,36,500000,4.4,1,0,0,3.9,2137,1183,310,221,149,274,0,1
0,217,46,100000,4.0,1,0,0,4.4,2175,1497,358,115,50,155,0,1
0,448,38,10000,2.3,4,0,0,3.8,75,41,7,10,2,15,0,1
0,787,6.4,50000,2.3,4,0,0,3.2,154,66,13,13,14,48,0,1
0,5,20,1000000,4.4,4,0,0,4.2,14767,10077,1315,1226,507,1642,0,1
0,422,37,1000000,2.3,4,0,0,4.0,19115,11444,1879,1988,1044,2760,0,1
0,254,30,5000,2.3,3,0,0,2.9,46,16,4,4,2,20,0,1
0,28,35,1000000,4.1,1,0,0,4.1,10724,6176,1885,1341,408,914,0,1
0,987,29,10000,2.3,1,0,0,3.7,41,21,4,5,5,6,0,1
0,348,26,500000,2.3,4,0,0,4.0,1459,896,146,153,66,198,0,1
0,1030,23,1000,3.0,1,0,0,5.0,25,25,0,0,0,0,0,1
0,278,37,10000,2.3,4,0,0,3.7,195,102,14,36,11,32,0,1
0,7,11,1000000,4.0,1,0,0,3.7,9594,5435,663,682,457,2357,0,1
0,391,24,50000,2.3,1,0,0,3.6,59,34,2,6,1,16,0,1
0,372,50,10000,2.3,4,0,0,3.8,212,110,22,35,11,34,0,1
0,1134,49,100,2.3,4,0,0,4.0,6,4,0,1,0,1,0,1
0,421,41,5000,3.0,6,0,0,3.9,43,23,5,7,3,5,0,1
0,784,40,100000,2.3,1,0,0,4.4,5574,4156,448,332,151,487,0,1
0,566,34,1000,2.3,4,0,0,3.6,7,4,0,0,2,1,0,1
0,433,42,5000,2.3,4,0,0,3.9,42,24,7,0,4,7,0,1
0,1515,3.5,50000,2.3,4,0,0,3.4,463,212,46,38,30,137,0,1
0,998,8.3,1000000,2.2,3,0,0,4.4,8479,6194,791,626,255,613,0,1
0,601,24,1000000,2.3,4,0,0,3.7,25101,12463,3369,2737,1592,4940,0,1
0,481,48,1000000,3.0,4,0,0,3.9,10885,6444,1102,1002,684,1653,0,1
0,1258,46,50000,2.3,4,0,0,3.7,516,248,79,61,40,88,0,1
0,1230,19,5000000,2.0,1,0,0,3.7,49905,24928,7011,5868,3758,8340,0,1
0,0,50,1000000,4.2,4,0,0,4.1,2674,1768,218,179,156,353,0,1
0,541,44,500000,2.3,1,0,0,4.3,3781,2689,323,256,114,399,0,1
0,218,54,1000000,4.1,6,0,0,3.7,14060,7976,1199,1214,730,2941,0,1
0,427,,500000,2.3,1,0,0,3.6,9212,4988,772,736,375,2341,0,1
0,791,41,5000,2.3,4,0,0,4.0,53,33,7,3,1,9,0,1
0,977,31,5000,2.3,1,0,0,3.9,36,19,7,4,1,5,0,1
0,427,19,500,2.3,1,0,0,,5,,,,,,0,1
0,524,47,500000,3.0,6,0,0,4.1,6420,4008,741,546,295,830,0,1
0,422,33,10000,2.3,4,0,0,4.1,166,102,20,18,8,18,0,1
0,455,,10,4.0,1,0,0,,3,,,,,,0,1
0,1133,43,50000,2.0,1,0,0,3.6,420,192,72,52,20,84,0,1
0,558,38,10000,2.3,4,0,0,4.1,127,79,12,17,5,14,0,1
0,1078,24,100000,2.3,4,0,0,3.5,1608,796,133,184,82,413,0,1
0,606,46,1000,2.3,3,0,0,3.9,40,24,4,3,2,7,0,1
0,589,40,5000,2.3,6,0,0,3.8,32,17,7,1,0,7,0,1
0,800,5.1,50000,2.3,6,0,0,4.1,160,103,16,12,8,21,0,1
0,1455,13,10000,2.3,1,0,0,3.5,50,19,7,10,6,8,0,1
0,349,29,100000,2.3,6,0,0,4.0,1853,1147,197,191,88,230,0,1
0,551,37,100000,2.3,6,0,0,4.0,838,510,94,75,41,118,0,1
0,9,11,1000000,4.0,1,0,0,3.5,7954,4233,500,554,312,2355,0,1
0,629,50,500000,2.3,4,0,0,3.9,1896,1075,219,222,126,254,0,1
0,437,3.3,50000,4.0,1,0,0,3.9,297,166,31,40,22,38,0,1
0,651,14,10000,4.0,1,0,0,4.1,76,45,10,8,7,6,0,1
0,302,33,50000,2.3,4,0,0,3.8,365,188,48,49,25,55,0,1
0,411,32,10000,2.3,3,0,0,3.9,156,92,21,12,5,26,0,1
0,1011,36,5000,2.3,6,0,0,3.9,38,21,5,5,1,6,0,1
0,325,14,100000,4.0,1,0,0,4.7,396,348,21,5,3,19,0,1
0,559,41,100,2.3,4,0,0,5.0,5,5,0,0,0,0,0,1
0,519,35,1000,4.1,1,0,0,4.4,27,21,3,0,0,3,0,1
0,972,39,100000,2.3,1,0,0,3.8,729,386,96,99,36,112,0,1
0,1295,34,100000,2.3,4,0,0,4.3,7216,5084,805,518,247,562,0,1
0,721,6.5,10000,2.3,1,0,0,3.6,161,86,14,15,5,41,0,1
0,869,21,1000,3.0,1,0,0,4.2,5,4,0,0,0,1,0,1
0,990,13,1000,2.3,4,0,0,,11,,,,,,0,1
0,1112,22,1000000,2.3,4,0,0,3.7,3488,1862,329,343,215,739,0,1
0,511,26,10000,2.3,1,0,0,3.7,259,131,38,20,12,58,0,1
0,624,5.5,5000000,4.0,1,0,0,3.7,33718,19263,2324,2352,1822,7957,0,1
0,707,3.2,100,4.0,1,0,0,3.4,9,5,0,1,0,3,0,1
0,562,37,500000,2.3,6,0,0,3.6,4332,2358,318,366,209,1081,0,1
0,790,49,50000,2.3,1,0,0,3.7,123,63,14,11,11,24,0,1
0,1153,27,10000,2.3,1,0,0,3.4,175,84,18,11,12,50,0,1
0,623,42,5000,3.0,6,0,0,3.8,39,20,3,9,2,5,0,1
0,1154,25,5000,2.0,1,0,0,2.9,225,84,16,19,16,90,0,1
0,993,8.5,10000,2.3,4,0,0,3.8,210,115,29,14,13,39,0,1
0,641,18,10000,2.3,1,0,0,4.0,106,69,9,6,1,21,0,1
0,497,43,1000,2.3,4,0,0,4.2,30,18,4,6,0,2,0,1
0,1045,40,500000,2.3,6,0,0,3.1,2202,847,236,243,143,733,0,1
0,1516,6.6,100000,2.3,4,0,0,3.5,575,281,51,57,27,159,0,1
0,365,45,500000,4.2,6,0,0,3.9,3401,1962,371,386,179,503,0,1
0,527,48,100000,3.0,4,0,0,4.1,1861,1187,216,192,79,187,0,1
0,605,18,100,3.0,1,0,0,4.3,3,2,0,1,0,0,0,1
0,483,44,10000,2.3,3,0,0,4.1,310,209,26,24,11,40,0,1
0,615,46,10000,2.3,4,0,0,4.1,399,226,65,48,23,37,0,1
0,827,31,100,2.3,4,0,0,4.4,7,5,0,2,0,0,0,1
0,149,42,1000000,2.3,3,0,0,4.2,21650,14835,1852,1801,698,2464,0,1
0,800,40,100000,2.3,4,0,0,3.6,1782,894,179,205,103,401,0,1
0,1365,7.5,500000,3.0,4,0,0,3.8,12676,6734,1592,1519,963,1868,0,1
0,486,39,5000000,2.3,4,0,0,4.2,78515,50956,10103,7902,3294,6260,0,1
0,462,19,10000000,2.3,4,0,0,3.9,81972,44097,12764,10907,5027,9177,0,1
0,103,40,1000000,4.0,4,2.19,12.99,3.9,5284,2678,666,983,395,562,0,1
0,491,45,100000,2.3,6,0,0,4.0,653,414,60,62,28,89,0,1
0,1024,12,1000,2.3,1,0,0,3.4,32,15,2,4,2,9,0,1
0,112,29,500000,2.3,4,0,0,4.3,10062,6994,1155,794,343,776,0,1
0,492,50,100,2.3,4,0,0,4.1,11,7,1,1,1,1,0,1
0,867,15,100000,4.3,1,0,0,3.7,1371,785,120,97,47,322,0,1
0,9,35,500000,4.0,1,0,0,4.1,3163,2044,370,287,103,359,0,1
0,616,50,500000,2.3,6,0,0,4.1,3983,2439,432,445,221,446,0,1
0,536,2.8,50000,2.3,1,0,0,4.3,109,78,7,14,0,10,0,1
0,1017,36,10000,2.3,4,0,0,3.9,275,159,38,22,12,44,0,1
0,612,28,1000000,2.3,1,0,0,3.8,29106,14404,4918,3855,2135,3794,0,1
0,1012,2.7,5000,2.2,1,0,0,4.2,80,54,7,5,5,9,0,1
0,1198,31,1000,2.3,1,0,0,,40,,,,,,0,1
0,443,9.9,100000,2.3,1,0,0,3.7,1052,497,171,107,80,197,0,1
0,1403,14,5000,2.3,1,0,0,4.2,106,71,11,9,4,11,0,1
0,662,48,100000,2.3,6,0,0,4.0,1422,880,136,103,89,214,0,1
0,334,23,1000000,2.3,3,0,0,3.9,27997,15950,3174,2563,2195,4115,0,1
0,442,27,100,2.3,4,0,0,,2,,,,,,0,1
0,691,35,5000,2.3,4,0,0,4.0,27,18,2,1,1,5,0,1
0,1129,25,100000,2.3,1,0,0,3.7,601,314,67,74,39,107,0,1
0,899,19,1000000,2.3,1,0,0,4.2,14103,9211,1698,1090,558,1546,0,1
0,1504,1018,10000,2.2,0,0,0,4.1,618,419,43,46,25,85,0,1
0,436,49,100000,2.3,6,0,0,3.9,1638,911,178,196,120,233,0,1
0,511,27,1000000,2.3,1,0,0,3.4,15782,7606,1434,1386,1069,4287,0,1
0,1133,49,5000000,2.3,4,0,0,4.1,145256,85383,22269,15307,6304,15993,0,1
0,497,44,1000000,2.3,6,0,0,4.2,6394,3919,917,897,209,452,0,1
0,932,25,1000000,2.3,6,0,0,3.7,23823,11758,3358,2578,1672,4457,0,1
0,1135,45,500,2.3,4,0,0,,8,,,,,,0,1
0,701,9.5,1000,2.3,1,0,0,5.0,17,17,0,0,0,0,0,1
0,199,36,10000,4.0,4,0,0,4.2,38,28,2,1,2,5,0,1
0,456,27,100000,2.3,3,0,0,4.1,5605,3245,839,727,168,626,0,1
0,35,42,1000000,4.1,1,0,0,4.0,6683,4096,684,617,335,951,0,1
0,281,46,10000000,4.0,4,0,0,3.9,133891,72245,17671,16908,8263,18804,0,1
0,445,20,50000,2.3,4,0,0,3.7,374,188,44,44,26,72,0,1
0,538,49,50000,4.0,4,0,0,3.7,268,159,14,22,10,63,0,1
0,933,31,100000,2.3,4,0,0,3.8,3344,1733,466,403,212,530,0,1
0,1529,5.0,10000,2.2,1,0,0,3.4,217,100,20,18,34,45,0,1
0,497,34,1000,3.1,4,0,0,4.5,32,26,2,1,0,3,0,1
0,22,62,10000000,4.0,4,0,0,4.4,97798,72031,8703,5836,2531,8697,0,1
0,60,43,100000,2.3,4,0,0,4.0,1314,831,126,86,41,230,0,1
0,710,2.6,1000,1.6,1,0,0,,17,,,,,,0,1
0,436,39,100000,4.0,4,0,0,4.0,671,417,56,65,31,102,0,1
0,1471,4.2,5000,2.3,3,0,0,3.9,73,42,10,4,6,11,0,1
0,467,9.9,100000,2.2,4,0,0,4.3,1033,684,141,119,30,59,0,1
0,177,36,1000000,4.0,4,1.06,35.99,3.9,27913,16373,3104,2704,1422,4310,0,1
0,490,22,500,4.4,4,0,0,3.9,17,11,0,2,1,3,0,1
0,706,34,500000,3.2,6,0,0,3.7,1330,716,112,137,97,268,0,1
0,2,11,10000000,2.3,1,0,0,3.9,103316,55173,15287,14186,6710,11960,0,1
0,429,37,100000,2.3,4,0,0,4.1,951,616,99,85,36,115,0,1
0,512,31,100000,2.3,4,0,0,4.1,615,412,54,34,24,91,0,1
0,183,5.7,100000,2.3,1,0,0,4.2,175,119,14,21,6,15,0,1
0,1031,23,100,3.0,1,0,0,5.0,3,3,0,0,0,0,0,1
0,1447,21,10000,2.0,6,0,0,3.6,277,137,31,29,19,61,0,1
0,471,44,1000000,2.3,6,0,0,4.0,9189,5546,975,1127,450,1091,0,1
0,23,21,50000,4.0,1,1.29,2.59,4.1,334,186,68,38,17,25,0,1
0,575,40,10000,2.3,6,0,0,3.1,40,16,3,5,1,15,0,1
0,790,50,10000,2.3,1,0,0,3.8,192,113,14,15,10,40,0,1
0,491,49,500,2.3,4,0,0,3.8,6,4,0,0,1,1,0,1
0,382,3.8,100000,2.3,1,0,0,3.6,1745,891,155,149,126,424,0,1
0,1305,34,10000,2.3,4,0,0,3.7,542,270,69,80,34,89,0,1
0,543,46,50000,4.0,4,0,0,3.8,355,200,33,35,18,69,0,1
0,739,13,10000,2.2,1,0,0,3.5,90,37,14,10,12,17,0,1
0,595,39,1000000,2.3,3,0,0,3.7,6405,3421,634,683,384,1283,0,1
0,440,37,5000,3.2,4,0,0,3.8,32,16,5,4,4,3,0,1
0,439,13,50000,2.3,1,0,0,4.3,1004,753,79,46,12,114,0,1
0,1438,19,100,2.0,0,0,0,4.5,11,8,2,0,0,1,0,1
0,304,23,1000000,2.3,4,1.29,1.89,3.9,9617,5282,1135,1411,587,1202,0,1
0,560,24,1000,2.3,1,0,0,4.3,11,8,1,0,1,1,0,1
0,685,14,100000,2.3,1,0,0,3.9,1625,864,228,264,87,182,0,1
